"
Est time clear hàng hiện tại",vùng,backlog lastmile,backlog ktc,đơn tạo N-1,đơn gtc N-1,tb gtc (L7D),max gtc (L7D),kho gxt,Tình hình hiện tại,"
Est time clear hàng sắp về",Tình hình sắp tới,GTC - tạo,Total ngày,Rank
0.19,GXT-Miền Trung,24,189,202,205,129,219,Kho Giao Hàng Nặng - Hương Thủy - Huế,Bình thường,4.10,Bình thường,3,3.21,79
0.87,GXT-Miền Trung,41,35,78,33,47,71,Kho Giao Hàng Nặng - Tuy Phong - Bình Thuận,Bình thường,2.39,Bình thường,-45,3.26,76
0.46,GXT-Miền Trung,30,83,100,91,65,97,Kho Giao Hàng Nặng - Tam Kỳ - Quảng Nam,Bình thường,2.83,Bình thường,-9,3.29,73
0.59,GXT-Miền Trung,73,132,206,176,123,216,Kho Giao Hàng Nặng - Đông Thọ - Thanh Hoá,Bình thường,2.75,Bình thường,-30,3.34,69
1.12,GXT-Miền Trung,43,36,54,38,38,73,Kho Giao Hàng Nặng - Gia Nghĩa - Đắk Nông,Bình thường,2.34,Bình thường,-16,3.46,61
0.67,GXT-Miền Trung,198,371,469,320,295,516,Kho Giao Hàng Nặng - Liên Chiểu - Đà Nẵng,Bình thường,2.84,Bình thường,-149,3.51,57
0.99,GXT-Miền Trung,62,60,106,46,63,110,Kho Giao Hàng Nặng - Đồng Hới - Quảng Bình,Bình thường,2.65,Bình thường,-60,3.64,47
0.38,GXT-Miền Trung,72,278,341,258,189,258,Kho Giao Hàng Nặng - Quy Nhơn - Bình Định,Bình thường,3.28,Cảnh báo,-83,3.67,45
0.86,GXT-Miền Trung,46,61,91,50,53,89,Kho Giao Hàng Nặng - Thạch Linh - Hà Tĩnh,Bình thường,2.84,Bình thường,-41,3.71,40
1.37,GXT-Miền Trung,237,145,263,194,173,262,Kho Giao Hàng Nặng - Vinh - Nghệ An,Bình thường,2.36,Bình thường,-69,3.73,38
0.24,GXT-Miền Trung,17,115,131,67,69,113,Kho Giao Hàng Nặng - Quảng Ngãi - Quảng Ngãi,Bình thường,3.54,Cảnh báo,-64,3.79,33
0.76,GXT-Miền Trung,71,123,163,95,94,139,Kho Giao Hàng Nặng - Phan Rang - Ninh Thuận,Bình thường,03.10,Bình thường,-68,3.81,32
0.46,GXT-Miền Trung,85,271,352,171,186,247,Kho Giao Hàng Nặng - Buôn Ma Thuột - Đắk Lắk,Bình thường,3.35,Cảnh báo,-181,3.81,31
0.70,GXT-Miền Trung,131,298,336,241,188,241,Kho Giao Hàng Nặng - Hoà Xuân - Đà Nẵng,Bình thường,3.38,Cảnh báo,-95,4.10,25
0.85,GXT-Miền Trung,99,159,224,160,117,170,Kho Giao Hàng Nặng - Hội An - Quảng Nam,Bình thường,3.28,Cảnh báo,-64,4.12,24
01.08,GXT-Miền Trung,302,376,515,285,279,355,Kho Giao Hàng Nặng - Nha Trang - Khánh Hoà,Bình thường,3.20,Bình thường,-230,4.28,20
0.34,GXT-Miền Trung,37,224,214,167,110,181,Kho Giao Hàng Nặng - Pleiku - Gia Lai,Bình thường,3.98,Cảnh báo,-47,4.32,19
1.48,GXT-Miền Trung,50,39,57,42,34,48,Kho Giao Hàng Nặng - Đông Hà - Quảng Trị,Bình thường,2.85,Bình thường,-15,4.33,18
01.01,GXT-Miền Trung,41,60,78,61,41,61,Kho Giao Hàng Nặng - Buôn Hồ - Đắk Lắk,Bình thường,3.39,Cảnh báo,-17,4.40,16
0.53,GXT-Miền Trung,44,149,179,106,83,116,Kho Giao Hàng Nặng - Tuy Hoà - Phú Yên,Bình thường,3.97,Cảnh báo,-73,4.50,13
01.08,GXT-Miền Trung,69,79,142,61,64,99,Kho Giao Hàng Nặng - Cam Ranh - Khánh Hoà,Bình thường,3.47,Cảnh báo,-81,4.55,12
1.44,GXT-Miền Trung,172,127,269,102,119,156,Kho Giao Hàng Nặng - Phan Thiết - Bình Thuận,Bình thường,3.32,Cảnh báo,-167,4.76,10
01.09,GXT-Miền Trung,54,68,120,37,49,71,Kho Giao Hàng Nặng - La Gi - Bình Thuận,Bình thường,3.80,Cảnh báo,-83,4.90,8
0.80,GXT-Miền Trung,40,110,105,57,50,73,Kho Giao Hàng Nặng - Thắng Lợi - Kon Tum,Bình thường,4.29,Cảnh báo,-48,5.10,5
1.64,GXT-Miền Trung,63,65,88,32,38,69,Kho Giao Hàng Nặng - Hoài Nhơn - Bình Định,Bình thường,3.98,Cảnh báo,-56,5.62,4
