STT,Kho,Ngày,KL gán,Số đơn gán,Số đơn GTC,% GTC
1,Kho Giao Hàng Nặng - Liên Chiểu - Đà Nẵng,2026-05-04 - Thứ 2,17.548,341,307,"90,03%"
2,Kho Giao Hàng Nặng - Nha Trang - Khánh Hoà,2026-05-04 - Thứ 2,11.901,326,273,"83,74%"
3,Kho Giao Hàng Nặng - Quy Nhơn - Bình Định,2026-05-04 - Thứ 2,10.425,276,253,"91,67%"
4,Kho Giao Hàng Nặng - Hoà Xuân - Đà Nẵng,2026-05-04 - Thứ 2,9.418,263,227,"86,31%"
5,Kho Giao Hàng Nặng - Đông Thọ - Thanh Hoá,2026-05-04 - Thứ 2,8.390,196,174,"88,78%"
6,Kho Giao Hàng Nặng - Vinh - Nghệ An,2026-05-04 - Thứ 2,7.011,240,185,"77,08%"
7,Kho Giao Hàng Nặng - Pleiku - Gia Lai,2026-05-04 - Thứ 2,6.573,179,166,"92,74%"
8,Kho Giao Hàng Nặng - Hương Thủy - Huế,2026-05-04 - Thứ 2,6.301,216,194,"89,81%"
9,Kho Giao Hàng Nặng - Buôn Ma Thuột - Đắk Lắk,2026-05-04 - Thứ 2,6.283,203,166,"81,77%"
10,Kho Giao Hàng Nặng - Phan Thiết - Bình Thuận,2026-05-04 - Thứ 2,5.836,130,98,"75,38%"
11,Kho Giao Hàng Nặng - Hội An - Quảng Nam,2026-05-04 - Thứ 2,4.553,172,155,"90,12%"
12,Kho Giao Hàng Nặng - Phan Rang - Ninh Thuận,2026-05-04 - Thứ 2,3.750,114,89,"78,07%"
13,Kho Giao Hàng Nặng - Tuy Hoà - Phú Yên,2026-05-04 - Thứ 2,2.921,109,103,"94,50%"
14,Kho Giao Hàng Nặng - Tam Kỳ - Quảng Nam,2026-05-04 - Thứ 2,2.801,102,89,"87,25%"
15,Kho Giao Hàng Nặng - Thạch Linh - Hà Tĩnh,2026-05-04 - Thứ 2,2.232,63,50,"79,37%"
16,Kho Giao Hàng Nặng - Đồng Hới - Quảng Bình,2026-05-04 - Thứ 2,2.097,51,43,"84,31%"
17,Kho Giao Hàng Nặng - Quảng Ngãi - Quảng Ngãi,2026-05-04 - Thứ 2,1.881,73,61,"83,56%"
18,Kho Giao Hàng Nặng - Buôn Hồ - Đắk Lắk,2026-05-04 - Thứ 2,1.845,69,60,"86,96%"
19,Kho Giao Hàng Nặng - Cam Ranh - Khánh Hoà,2026-05-04 - Thứ 2,1.734,68,60,"88,24%"
