STT,Kho,Ngày,Nhận mới,GTC,%Gán của nhận mới,%GTC/ nhận mới
1,22782000 - Kho Giao Hàng Nặng - Buôn Hồ - Đắk Lắk,2026-05-04 - Thứ 2,49,36,"83,67%","73,47%"
2,22168000 - Kho Giao Hàng Nặng - Hoài Nhơn - Bình Định,2026-05-04 - Thứ 2,30,27,"100,00%","90,00%"
3,22059000 - Kho Giao Hàng Nặng - Hoà Xuân - Đà Nẵng,2026-05-04 - Thứ 2,136,117,"100,00%","86,03%"
4,22057000 - Kho Giao Hàng Nặng - Tuy Phong - Bình Thuận,2026-05-04 - Thứ 2,53,41,"86,79%","77,36%"
5,22028000 - Kho Giao Hàng Nặng - La Gi - Bình Thuận,2026-05-04 - Thứ 2,41,38,"100,00%","92,68%"
6,21682000 - Kho Giao Hàng Nặng - Thạch Linh - Hà Tĩnh,2026-05-04 - Thứ 2,43,41,"100,00%","95,35%"
7,21525000 - Kho Giao Hàng Nặng - Gia Nghĩa - Đắk Nông,2026-05-04 - Thứ 2,27,25,"100,00%","92,59%"
8,21521000 - Kho Giao Hàng Nặng - Đông Hà - Quảng Trị,2026-05-04 - Thứ 2,36,34,"100,00%","94,44%"
9,21498000 - Kho Giao Hàng Nặng - Cam Ranh - Khánh Hoà,2026-05-04 - Thứ 2,63,57,"100,00%","90,48%"
10,21483000 - Kho Giao Hàng Nặng - Tam Kỳ - Quảng Nam,2026-05-04 - Thứ 2,117,103,"100,00%","88,03%"
11,21386000 - Kho Giao Hàng Nặng - Hội An - Quảng Nam,2026-05-04 - Thứ 2,67,60,"100,00%","89,55%"
12,21347000 - Kho Giao Hàng Nặng - Tuy Hoà - Phú Yên,2026-05-04 - Thứ 2,84,80,"100,00%","95,24%"
13,21285000 - Kho Giao Hàng Nặng - Phan Thiết - Bình Thuận,2026-05-04 - Thứ 2,118,108,"100,00%","91,53%"
14,21284000 - Kho Giao Hàng Nặng - Quảng Ngãi - Quảng Ngãi,2026-05-04 - Thứ 2,56,52,"100,00%","92,86%"
15,21283000 - Kho Giao Hàng Nặng - Đồng Hới - Quảng Bình,2026-05-04 - Thứ 2,53,47,"100,00%","88,68%"
16,21163000 - Kho Giao Hàng Nặng - Phan Rang - Ninh Thuận,2026-05-04 - Thứ 2,67,62,"100,00%","92,54%"
17,21162000 - Kho Giao Hàng Nặng - Thắng Lợi - Kon Tum,2026-05-04 - Thứ 2,61,46,"83,61%","75,41%"
18,21096000 - Kho Giao Hàng Nặng - Hương Thủy - Huế,2026-05-04 - Thứ 2,58,52,"100,00%","89,66%"
19,21095000 - Kho Giao Hàng Nặng - Vinh - Nghệ An,2026-05-04 - Thứ 2,210,154,"89,52%","73,33%"
20,21094000 - Kho Giao Hàng Nặng - Nha Trang - Khánh Hoà,2026-05-04 - Thứ 2,323,287,"99,69%","88,85%"
21,21091000 - Kho Giao Hàng Nặng - Pleiku - Gia Lai,2026-05-04 - Thứ 2,40,37,"100,00%","92,50%"
22,21090000 - Kho Giao Hàng Nặng - Buôn Ma Thuột - Đắk Lắk,2026-05-04 - Thứ 2,144,129,"100,00%","89,58%"
23,21089000 - Kho Giao Hàng Nặng - Liên Chiểu - Đà Nẵng,2026-05-04 - Thứ 2,252,229,"98,41%","90,87%"
24,21087000 - Kho Giao Hàng Nặng - Quy Nhơn - Bình Định,2026-05-04 - Thứ 2,156,141,"98,08%","90,38%"
25,21086000 - Kho Giao Hàng Nặng - Đông Thọ - Thanh Hoá,2026-05-04 - Thứ 2,126,115,"99,21%","91,27%"
26,22782000 - Kho Giao Hàng Nặng - Buôn Hồ - Đắk Lắk,2026-05-03 - Chủ Nhật,10,2,"40,00%","20,00%"
27,22168000 - Kho Giao Hàng Nặng - Hoài Nhơn - Bình Định,2026-05-03 - Chủ Nhật,12,11,"100,00%","91,67%"
28,22059000 - Kho Giao Hàng Nặng - Hoà Xuân - Đà Nẵng,2026-05-03 - Chủ Nhật,89,77,"100,00%","86,52%"
29,22057000 - Kho Giao Hàng Nặng - Tuy Phong - Bình Thuận,2026-05-03 - Chủ Nhật,24,22,"95,83%","91,67%"
30,22028000 - Kho Giao Hàng Nặng - La Gi - Bình Thuận,2026-05-03 - Chủ Nhật,52,51,"100,00%","98,08%"
31,21682000 - Kho Giao Hàng Nặng - Thạch Linh - Hà Tĩnh,2026-05-03 - Chủ Nhật,54,46,"100,00%","85,19%"
32,21525000 - Kho Giao Hàng Nặng - Gia Nghĩa - Đắk Nông,2026-05-03 - Chủ Nhật,22,16,"100,00%","72,73%"
33,21498000 - Kho Giao Hàng Nặng - Cam Ranh - Khánh Hoà,2026-05-03 - Chủ Nhật,45,39,"97,78%","86,67%"
34,21483000 - Kho Giao Hàng Nặng - Tam Kỳ - Quảng Nam,2026-05-03 - Chủ Nhật,33,30,"96,97%","90,91%"
35,21386000 - Kho Giao Hàng Nặng - Hội An - Quảng Nam,2026-05-03 - Chủ Nhật,50,48,"100,00%","96,00%"
36,21347000 - Kho Giao Hàng Nặng - Tuy Hoà - Phú Yên,2026-05-03 - Chủ Nhật,16,16,"100,00%","100,00%"
37,21285000 - Kho Giao Hàng Nặng - Phan Thiết - Bình Thuận,2026-05-03 - Chủ Nhật,52,43,"100,00%","82,69%"
38,21284000 - Kho Giao Hàng Nặng - Quảng Ngãi - Quảng Ngãi,2026-05-03 - Chủ Nhật,29,27,"100,00%","93,10%"
39,21283000 - Kho Giao Hàng Nặng - Đồng Hới - Quảng Bình,2026-05-03 - Chủ Nhật,27,20,"100,00%","74,07%"
40,21163000 - Kho Giao Hàng Nặng - Phan Rang - Ninh Thuận,2026-05-03 - Chủ Nhật,55,50,"100,00%","90,91%"
