STT,Kho,Ngày,Số đơn trả,% FD,,,Thời gian,Tổng đơn trả,Trả hàng tổng,Trả hàng SHOPEE Bulky,Trả hàng TTS Bulky,Trả hàng SME,Trả hàng B2B,Trả hàng Ecommerce
1,Kho Giao Hàng Nặng - Đông Thọ - Thanh Hoá,2026-05-04 - Thứ 2,2,"1,14%",,,2026-05-04 - Thứ 2,117,"3,78%","4,12%","9,33%","1,78%","0,00%","0,00%"
2,Kho Giao Hàng Nặng - Buôn Ma Thuột - Đắk Lắk,2026-05-04 - Thứ 2,5,"2,92%",,,2026-05-03 - CN,92,"5,11%","5,90%","13,33%","1,03%","0,00%","33,33%"
3,Kho Giao Hàng Nặng - Vinh - Nghệ An,2026-05-04 - Thứ 2,9,"4,64%",,,2026-05-02 - Thứ 7,144,"5,89%","8,48%","4,26%","1,14%","0,00%","0,00%"
4,Kho Giao Hàng Nặng - La Gi - Bình Thuận,2026-05-04 - Thứ 2,3,"8,11%",,,2026-05-01 - Thứ 6,100,"4,98%","5,61%","21,28%","2,40%","0,00%","6,67%"
5,Kho Giao Hàng Nặng - Buôn Hồ - Đắk Lắk,2026-05-04 - Thứ 2,1,"1,64%",,,2026-04-30 - Thứ 5,103,"4,44%","4,72%","31,25%","0,78%","0,00%","0,00%"
6,Kho Giao Hàng Nặng - Đồng Hới - Quảng Bình,2026-05-04 - Thứ 2,3,"6,52%",,,2026-04-29 - Thứ 4,137,"3,93%","4,26%","15,09%","2,48%","0,00%","7,69%"
7,Kho Giao Hàng Nặng - Liên Chiểu - Đà Nẵng,2026-05-04 - Thứ 2,13,"4,06%",,,2026-04-28 - Thứ 3,137,"3,95%","4,42%","16,00%","2,13%","0,00%","0,00%"
8,Kho Giao Hàng Nặng - Tam Kỳ - Quảng Nam,2026-05-04 - Thứ 2,2,"2,20%",,,2026-04-27 - Thứ 2,137,"3,38%","4,08%","11,43%","1,02%","0,00%","0,00%"
9,Kho Giao Hàng Nặng - Hoà Xuân - Đà Nẵng,2026-05-04 - Thứ 2,14,"5,81%",,,2026-04-26 - CN,141,"4,24%","5,34%","17,31%","0,75%","0,00%","11,11%"
10,Kho Giao Hàng Nặng - Quảng Ngãi - Quảng Ngãi,2026-05-04 - Thứ 2,6,"8,96%",,,2026-04-25 - Thứ 7,157,"4,32%","5,32%","16,92%","1,43%","0,00%","0,00%"
11,Kho Giao Hàng Nặng - Đông Hà - Quảng Trị,2026-05-04 - Thứ 2,2,"4,76%",,,2026-04-24 - Thứ 6,158,"3,77%","4,39%","23,21%","1,17%","0,00%","0,00%"
12,Kho Giao Hàng Nặng - Nha Trang - Khánh Hoà,2026-05-04 - Thứ 2,12,"4,21%",,,2026-04-23 - Thứ 5,181,"3,93%","4,36%","18,97%","1,58%","0,00%","0,00%"
13,Kho Giao Hàng Nặng - Hương Thủy - Huế,2026-05-04 - Thứ 2,11,"5,37%",,,2026-04-22 - Thứ 4,159,"3,77%","4,11%","19,05%","1,50%","0,00%","0,00%"
14,Kho Giao Hàng Nặng - Phan Thiết - Bình Thuận,2026-05-04 - Thứ 2,4,"3,92%",,,2026-04-21 - Thứ 3,124,"4,65%","5,50%","16,33%","2,06%","0,00%","11,11%"
15,Kho Giao Hàng Nặng - Thạch Linh - Hà Tĩnh,2026-05-04 - Thứ 2,0,"0,00%",,,2026-04-20 - Thứ 2,188,"4,45%","5,49%","10,17%","1,68%","0,00%","0,00%"
16,Kho Giao Hàng Nặng - Quy Nhơn - Bình Định,2026-05-04 - Thứ 2,5,"1,94%",,,2026-04-19 - CN,166,"3,84%","4,44%","14,29%","1,22%","0,00%","0,00%"
17,Kho Giao Hàng Nặng - Pleiku - Gia Lai,2026-05-04 - Thứ 2,1,"0,60%",,,2026-04-18 - Thứ 7,200,"3,88%","4,46%","5,80%","1,68%","0,00%","0,00%"
18,Kho Giao Hàng Nặng - Phan Rang - Ninh Thuận,2026-05-04 - Thứ 2,6,"6,32%",,,2026-04-17 - Thứ 6,212,"4,22%","4,49%","21,13%","2,24%","0,00%","0,00%"
19,Kho Giao Hàng Nặng - Tuy Hoà - Phú Yên,2026-05-04 - Thứ 2,3,"2,83%",,,2026-04-16 - Thứ 5,202,"4,55%","5,44%","5,36%","1,69%","0,00%","5,56%"
20,Kho Giao Hàng Nặng - Cam Ranh - Khánh Hoà,2026-05-04 - Thứ 2,1,"1,64%",,,2026-04-15 - Thứ 4,169,"4,17%","4,66%","20,34%","1,91%","0,00%","0,00%"
21,Kho Giao Hàng Nặng - Thắng Lợi - Kon Tum,2026-05-04 - Thứ 2,6,"10,53%",,,2026-04-14 - Thứ 3,161,"4,33%","4,57%","22,00%","2,56%","0,00%","13,33%"
22,Kho Giao Hàng Nặng - Hội An - Quảng Nam,2026-05-04 - Thứ 2,5,"3,13%",,,2026-04-13 - Thứ 2,180,"3,77%","4,39%","9,26%","1,05%","0,00%","10,53%"
23,Kho Giao Hàng Nặng - Tuy Phong - Bình Thuận,2026-05-04 - Thứ 2,0,"0,00%",,,2026-04-12 - CN,200,"4,12%","4,56%","13,04%","1,98%","0,00%","0,00%"
24,Kho Giao Hàng Nặng - Gia Nghĩa - Đắk Nông,2026-05-04 - Thứ 2,2,"5,26%",,,2026-04-11 - Thứ 7,204,"4,55%","5,29%","27,59%","0,87%","0,00%","11,11%"
25,Kho Giao Hàng Nặng - Hoài Nhơn - Bình Định,2026-05-04 - Thứ 2,1,"3,13%",,,2026-04-10 - Thứ 6,221,"4,68%","5,24%","16,46%","2,09%","0,00%","0,00%"
26,Kho Giao Hàng Nặng - Liên Chiểu - Đà Nẵng,2026-05-03 - CN,10,"7,41%",,,2026-04-09 - Thứ 5,202,"3,82%","4,49%","3,28%","0,78%","0,00%","0,00%"
27,Kho Giao Hàng Nặng - Đông Thọ - Thanh Hoá,2026-05-03 - CN,2,"2,53%",,,2026-04-08 - Thứ 4,191,"3,54%","3,54%","16,67%","2,90%","0,00%","0,00%"
28,Kho Giao Hàng Nặng - Hương Thủy - Huế,2026-05-03 - CN,1,"100,00%",,,2026-04-07 - Thứ 3,208,"3,86%","3,92%","17,39%","2,72%","0,00%","0,00%"
29,Kho Giao Hàng Nặng - Hội An - Quảng Nam,2026-05-03 - CN,1,"1,12%",,,2026-04-06 - Thứ 2,211,"3,84%","4,22%","3,39%","2,13%","0,00%","0,00%"
30,Kho Giao Hàng Nặng - Tam Kỳ - Quảng Nam,2026-05-03 - CN,0,"0,00%",,,2026-04-05 - CN,214,"4,77%","5,80%","3,85%","1,18%","0,00%","0,00%"
31,Kho Giao Hàng Nặng - Tuy Hoà - Phú Yên,2026-05-03 - CN,0,"0,00%",,,2026-04-04 - Thứ 7,189,"4,22%","4,68%","7,50%","2,53%","0,00%","0,00%"
32,Kho Giao Hàng Nặng - Hoà Xuân - Đà Nẵng,2026-05-03 - CN,16,"12,21%",,,2026-04-03 - Thứ 6,171,"4,20%","4,54%","11,76%","2,48%","0,00%","0,00%"
33,Kho Giao Hàng Nặng - Nha Trang - Khánh Hoà,2026-05-03 - CN,7,"3,63%",,,2026-04-02 - Thứ 5,153,"3,72%","4,25%","10,96%","1,56%","0,00%","0,00%"
34,Kho Giao Hàng Nặng - Cam Ranh - Khánh Hoà,2026-05-03 - CN,2,"4,00%",,,2026-04-01 - Thứ 4,160,"4,19%","4,96%","7,58%","1,29%","0,00%","9,09%"
35,Kho Giao Hàng Nặng - La Gi - Bình Thuận,2026-05-03 - CN,1,"1,64%",,,,,,,,,,
36,Kho Giao Hàng Nặng - Tuy Phong - Bình Thuận,2026-05-03 - CN,0,"0,00%",,,,,,,,,,
37,Kho Giao Hàng Nặng - Vinh - Nghệ An,2026-05-03 - CN,13,"6,84%",,,,,,,,,,
38,Kho Giao Hàng Nặng - Hoài Nhơn - Bình Định,2026-05-03 - CN,0,"0,00%",,,,,,,,,,
39,Kho Giao Hàng Nặng - Buôn Hồ - Đắk Lắk,2026-05-03 - CN,4,"20,00%",,,,,,,,,,
40,Kho Giao Hàng Nặng - Phan Thiết - Bình Thuận,2026-05-03 - CN,4,"4,08%",,,,,,,,,,
41,Kho Giao Hàng Nặng - Thạch Linh - Hà Tĩnh,2026-05-03 - CN,1,"1,82%",,,,,,,,,,
42,Kho Giao Hàng Nặng - Đồng Hới - Quảng Bình,2026-05-03 - CN,3,"4,35%",,,,,,,,,,
43,Kho Giao Hàng Nặng - Quảng Ngãi - Quảng Ngãi,2026-05-03 - CN,3,"6,67%",,,,,,,,,,
44,Kho Giao Hàng Nặng - Thắng Lợi - Kon Tum,2026-05-03 - CN,0,"0,00%",,,,,,,,,,
45,Kho Giao Hàng Nặng - Buôn Ma Thuột - Đắk Lắk,2026-05-03 - CN,10,"6,33%",,,,,,,,,,
46,Kho Giao Hàng Nặng - Phan Rang - Ninh Thuận,2026-05-03 - CN,5,"6,02%",,,,,,,,,,
47,Kho Giao Hàng Nặng - Quy Nhơn - Bình Định,2026-05-03 - CN,4,"4,76%",,,,,,,,,,
48,Kho Giao Hàng Nặng - Gia Nghĩa - Đắk Nông,2026-05-03 - CN,1,"4,00%",,,,,,,,,,
49,Kho Giao Hàng Nặng - Đông Hà - Quảng Trị,2026-05-03 - CN,2,"9,09%",,,,,,,,,,
50,Kho Giao Hàng Nặng - Pleiku - Gia Lai,2026-05-03 - CN,2,"3,64%",,,,,,,,,,
51,Kho Giao Hàng Nặng - Buôn Ma Thuột - Đắk Lắk,2026-05-02 - Thứ 7,7,"3,55%",,,,,,,,,,
52,Kho Giao Hàng Nặng - Hương Thủy - Huế,2026-05-02 - Thứ 7,10,"10,10%",,,,,,,,,,
53,Kho Giao Hàng Nặng - Phan Rang - Ninh Thuận,2026-05-02 - Thứ 7,4,"6,15%",,,,,,,,,,
54,Kho Giao Hàng Nặng - Gia Nghĩa - Đắk Nông,2026-05-02 - Thứ 7,1,"2,70%",,,,,,,,,,
55,Kho Giao Hàng Nặng - Pleiku - Gia Lai,2026-05-02 - Thứ 7,2,"3,92%",,,,,,,,,,
56,Kho Giao Hàng Nặng - Tuy Phong - Bình Thuận,2026-05-02 - Thứ 7,2,"3,85%",,,,,,,,,,
57,Kho Giao Hàng Nặng - Đông Thọ - Thanh Hoá,2026-05-02 - Thứ 7,7,"4,19%",,,,,,,,,,
58,Kho Giao Hàng Nặng - Thạch Linh - Hà Tĩnh,2026-05-02 - Thứ 7,0,"0,00%",,,,,,,,,,
59,Kho Giao Hàng Nặng - Tuy Hoà - Phú Yên,2026-05-02 - Thứ 7,1,"2,17%",,,,,,,,,,
60,Kho Giao Hàng Nặng - Cam Ranh - Khánh Hoà,2026-05-02 - Thứ 7,2,"5,00%",,,,,,,,,,
61,Kho Giao Hàng Nặng - Quy Nhơn - Bình Định,2026-05-02 - Thứ 7,10,"6,06%",,,,,,,,,,
62,Kho Giao Hàng Nặng - Tam Kỳ - Quảng Nam,2026-05-02 - Thứ 7,7,"7,22%",,,,,,,,,,
63,Kho Giao Hàng Nặng - Đông Hà - Quảng Trị,2026-05-02 - Thứ 7,0,"0,00%",,,,,,,,,,
64,Kho Giao Hàng Nặng - Đồng Hới - Quảng Bình,2026-05-02 - Thứ 7,11,"12,64%",,,,,,,,,,
65,Kho Giao Hàng Nặng - Hoà Xuân - Đà Nẵng,2026-05-02 - Thứ 7,15,"9,74%",,,,,,,,,,
66,Kho Giao Hàng Nặng - Hoài Nhơn - Bình Định,2026-05-02 - Thứ 7,2,"5,56%",,,,,,,,,,
67,Kho Giao Hàng Nặng - Liên Chiểu - Đà Nẵng,2026-05-02 - Thứ 7,8,"3,60%",,,,,,,,,,
68,Kho Giao Hàng Nặng - Buôn Hồ - Đắk Lắk,2026-05-02 - Thứ 7,2,"4,76%",,,,,,,,,,
69,Kho Giao Hàng Nặng - Phan Thiết - Bình Thuận,2026-05-02 - Thứ 7,5,"5,88%",,,,,,,,,,
70,Kho Giao Hàng Nặng - Thắng Lợi - Kon Tum,2026-05-02 - Thứ 7,3,"13,64%",,,,,,,,,,
71,Kho Giao Hàng Nặng - Hội An - Quảng Nam,2026-05-02 - Thứ 7,5,"2,94%",,,,,,,,,,
72,Kho Giao Hàng Nặng - Nha Trang - Khánh Hoà,2026-05-02 - Thứ 7,14,"7,57%",,,,,,,,,,
73,Kho Giao Hàng Nặng - Quảng Ngãi - Quảng Ngãi,2026-05-02 - Thứ 7,3,"2,65%",,,,,,,,,,
74,Kho Giao Hàng Nặng - Vinh - Nghệ An,2026-05-02 - Thứ 7,23,"10,85%",,,,,,,,,,
75,Kho Giao Hàng Nặng - La Gi - Bình Thuận,2026-05-02 - Thứ 7,0,"0,00%",,,,,,,,,,
76,Kho Giao Hàng Nặng - Đông Hà - Quảng Trị,2026-05-01 - Thứ 6,1,"100,00%",,,,,,,,,,
77,Kho Giao Hàng Nặng - Quy Nhơn - Bình Định,2026-05-01 - Thứ 6,7,"3,37%",,,,,,,,,,
78,Kho Giao Hàng Nặng - Liên Chiểu - Đà Nẵng,2026-05-01 - Thứ 6,11,"4,25%",,,,,,,,,,
79,Kho Giao Hàng Nặng - Buôn Ma Thuột - Đắk Lắk,2026-05-01 - Thứ 6,8,"4,49%",,,,,,,,,,
