Mức độ ưu tiên,Loại kho ht,Kho hiện tại,PIC,Order code,Cần làm gì,Khách,Địa chỉ giao,Ngày nhập kho,Đã lưu kho (ngày)
1: trong hôm nay,GXT Miền Trung,Kho Giao Hàng Nặng - Đông Hà - Quảng Trị,Nguyễn Minh Nghị,GYW4RFRR,sort/ trung chuyển/ luân chuyển,Vua nệm,,2026-05-03,2
1: trong hôm nay,GXT Miền Trung,Kho Giao Hàng Nặng - Đông Thọ - Thanh Hoá,Nguyễn Minh Nghị,GYWWWAXA,giao,Aqua B2C,Thanh Hóa - Huyện Yên Định,2026-05-04,1
1: trong hôm nay,GXT Miền Trung,Kho Giao Hàng Nặng - Hoà Xuân - Đà Nẵng,Nguyễn Minh Nghị,GYWTQW3F,giao,Aqua B2C,Đà Nẵng - Quận Hải Châu,2026-05-04,1
1: trong hôm nay,GXT Miền Trung,Kho Giao Hàng Nặng - Hương Thủy - Huế,Nguyễn Minh Nghị,GYW36E7B,giao,JD-Chint,Thừa Thiên Huế - Thành phố Huế,2026-05-01,4
1: trong hôm nay,GXT Miền Trung,Kho Giao Hàng Nặng - Liên Chiểu - Đà Nẵng,Nguyễn Minh Nghị,GY4CXTDK,sort/ trung chuyển/ luân chuyển,Xiaomi,,2026-03-11,55
1: trong hôm nay,GXT Miền Trung,Kho Giao Hàng Nặng - Liên Chiểu - Đà Nẵng,Nguyễn Minh Nghị,GY4GU7LQ,sort/ trung chuyển/ luân chuyển,Xiaomi,,2026-03-06,60
1: trong hôm nay,GXT Miền Trung,Kho Giao Hàng Nặng - Liên Chiểu - Đà Nẵng,Nguyễn Minh Nghị,GY4GU7LV,sort/ trung chuyển/ luân chuyển,Xiaomi,,2026-03-06,60
1: trong hôm nay,GXT Miền Trung,Kho Giao Hàng Nặng - Vinh - Nghệ An,Nguyễn Minh Nghị,GY46UHU6,sort/ trung chuyển/ luân chuyển,Xiaomi,,2026-03-10,56
2: trong ngày mai,GXT Miền Trung,Kho Giao Hàng Nặng - Đông Thọ - Thanh Hoá,Nguyễn Minh Nghị,GYWPK4BQ,giao,Honor - Ginhung,Thanh Hóa - Huyện Triệu Sơn,2026-05-01,4
2: trong ngày mai,GXT Miền Trung,Kho Giao Hàng Nặng - Hương Thủy - Huế,Nguyễn Minh Nghị,GYWX7QQL,giao,Aqua B2C,Thừa Thiên Huế - Thành phố Huế,2026-05-05,1
2: trong ngày mai,GXT Miền Trung,Kho Giao Hàng Nặng - Liên Chiểu - Đà Nẵng,Nguyễn Minh Nghị,GYWHTAEC,sort/ trung chuyển/ luân chuyển,Aqua B2C,,2026-05-04,1
2: trong ngày mai,GXT Miền Trung,Kho Giao Hàng Nặng - Liên Chiểu - Đà Nẵng,Nguyễn Minh Nghị,GYWXW7UW,sort/ trung chuyển/ luân chuyển,ATS,,2026-05-04,1
2: trong ngày mai,GXT Miền Trung,Kho Giao Hàng Nặng - Pleiku - Gia Lai,Nguyễn Minh Nghị,GYWWDDQT,giao,Vua nệm Miền Nam,Gia Lai - Huyện Ia Grai,2026-05-05,1
3: trong ngày mốt,GXT Miền Trung,Kho Giao Hàng Nặng - Đồng Hới - Quảng Bình,Nguyễn Minh Nghị,GYW4QUF4,giao,Con Cưng,Quảng Bình - Huyện Bố Trạch,2026-05-04,1
3: trong ngày mốt,GXT Miền Trung,Kho Giao Hàng Nặng - Đồng Hới - Quảng Bình,Nguyễn Minh Nghị,GYW4QUFW,giao,Con Cưng,Quảng Bình - Huyện Bố Trạch,2026-05-04,1
3: trong ngày mốt,GXT Miền Trung,Kho Giao Hàng Nặng - Đồng Hới - Quảng Bình,Nguyễn Minh Nghị,GYW4QULK,giao,Con Cưng,Quảng Bình - Huyện Bố Trạch,2026-05-04,1
3: trong ngày mốt,GXT Miền Trung,Kho Giao Hàng Nặng - Đồng Hới - Quảng Bình,Nguyễn Minh Nghị,GYW4QUQ4,giao,Con Cưng,Quảng Bình - Thị xã Ba Đồn,2026-05-04,1
3: trong ngày mốt,GXT Miền Trung,Kho Giao Hàng Nặng - Đồng Hới - Quảng Bình,Nguyễn Minh Nghị,GYW4QUQ8,giao,Con Cưng,Quảng Bình - Thành phố Đồng Hới,2026-05-04,1
3: trong ngày mốt,GXT Miền Trung,Kho Giao Hàng Nặng - Đồng Hới - Quảng Bình,Nguyễn Minh Nghị,GYW4QUQR,giao,Con Cưng,Quảng Bình - Huyện Lệ Thủy,2026-05-04,1
3: trong ngày mốt,GXT Miền Trung,Kho Giao Hàng Nặng - Đồng Hới - Quảng Bình,Nguyễn Minh Nghị,GYWKVHNG,giao,Con Cưng,Quảng Bình - Huyện Bố Trạch,2026-05-05,1
3: trong ngày mốt,GXT Miền Trung,Kho Giao Hàng Nặng - Đồng Hới - Quảng Bình,Nguyễn Minh Nghị,GYWKVHNL,giao,Con Cưng,Quảng Bình - Huyện Bố Trạch,2026-05-05,1
3: trong ngày mốt,GXT Miền Trung,Kho Giao Hàng Nặng - Đông Thọ - Thanh Hoá,Nguyễn Minh Nghị,GYWKVH93,giao,Con Cưng,Thanh Hóa - Huyện Thọ Xuân,2026-05-04,1
3: trong ngày mốt,GXT Miền Trung,Kho Giao Hàng Nặng - Đông Thọ - Thanh Hoá,Nguyễn Minh Nghị,GYWKVH97,giao,Con Cưng,Thanh Hóa - Thị xã Bỉm Sơn,2026-05-04,1
3: trong ngày mốt,GXT Miền Trung,Kho Giao Hàng Nặng - Đông Thọ - Thanh Hoá,Nguyễn Minh Nghị,GYWKVH9E,giao,Con Cưng,Thanh Hóa - Huyện Yên Định,2026-05-04,1
3: trong ngày mốt,GXT Miền Trung,Kho Giao Hàng Nặng - Đông Thọ - Thanh Hoá,Nguyễn Minh Nghị,GYWKVH9Q,giao,Con Cưng,Thanh Hóa - Huyện Thọ Xuân,2026-05-04,1
3: trong ngày mốt,GXT Miền Trung,Kho Giao Hàng Nặng - Đông Thọ - Thanh Hoá,Nguyễn Minh Nghị,GYWKVH9R,giao,Con Cưng,Thanh Hóa - Huyện Cẩm Thủy,2026-05-04,1
